tR_prediction	tR_target	dtR
7.133323	7.456	-0.32267680740356486
7.323719	7.162	0.1617190246582032
8.796223	8.582	0.21422268676757739
4.8275266	4.35	0.47752656936645543
6.0184727	5.892	0.12647267150878871
7.2977057	7.334	-0.03629434967040979
8.635315	9.465	-0.8296850585937499
7.973421	7.463	0.5104210968017577
6.3517375	6.441	-0.08926250076293929
9.785274	10.134	-0.3487264480590824
6.7358284	6.722	0.013828399658202706
5.038402	4.505	0.5334020805358888
4.5385184	4.679	-0.14048157119751004
10.419072	10.738	-0.3189278488159175
5.730556	6.082	-0.3514439888000487
6.5791516	6.556	0.02315163040161128
5.020191	4.665	0.3551911926269531
6.409554	6.294	0.11555400466918986
7.5256414	7.485	0.040641441345214524
5.7718773	5.634	0.13787728881835903
7.4049397	7.817	-0.41206034851074236
6.2960234	6.118	0.1780233688354489
6.050067	5.659	0.3910669479370119
7.25718	7.514	-0.2568197860717776
7.6063657	7.577	0.02936568069458012
7.8868527	7.849	0.03785274124145488
6.110323	5.912	0.1983229522705079
6.1120625	5.896	0.2160624542236329
11.2600975	11.189	0.07109750366210932
6.02614	6.006	0.020140213012695085
5.913579	5.76	0.15357898712158224
7.508711	8.048	-0.5392891387939454
3.2459865	3.529	-0.2830135383605956
7.6117887	7.664	-0.05221125030517548
4.1109977	3.848	0.26299767684936537
11.141738	12.209	-1.0672620620727535
5.064753	4.941	0.12375305557250993
7.020085	7.285	-0.2649151420593263
6.130815	6.78	-0.6491849708557131
11.50582	11.593	-0.08717972564697263
7.688793	7.827	-0.13820681762695308
7.920135	7.84	0.08013502120971694
9.10636	9.038	0.06836043548583959
6.5544453	6.931	-0.37655473327636724
7.070069	6.695	0.3750688362121579
6.5586696	6.978	-0.41933043289184546
6.4316916	6.203	0.22869164657592744
7.1371207	7.158	-0.020879276275635128
7.7622166	7.521	0.24121656799316415
7.350655	7.421	-0.07034492111206081
8.699364	9.115	-0.41563629150390646
8.569593	8.411	0.1585934295654301
6.8273115	7.234	-0.4066884841918945
7.7695127	7.265	0.5045126533508304
6.6678023	6.795	-0.12719766616821282
5.669106	6.068	-0.39889399337768516
7.895929	7.825	0.07092885971069318
7.6348424	7.781	-0.146157604217529
7.4719768	7.22	0.2519767570495608
8.6477375	9.238	-0.5902624969482417
7.696014	6.77	0.9260139274597172
7.656826	7.417	0.23982601928710956
4.1863055	3.402	0.784305522918701
8.284361	8.068	0.21636088562011757
6.234412	6.065	0.16941219329833945
5.4144483	5.276	0.13844826126098653
3.5638347	2.971	0.5928346672058105
5.291908	5.286	0.005907787322998459
8.805829	8.891	-0.08517095184326173
6.632319	6.453	0.17931897354125947
5.8600864	6.342	-0.4819135589599606
6.017682	6.239	-0.2213179244995116
6.9408407	6.55	0.39084072113037127
6.637886	6.379	0.2588860473632817
6.2576547	6.494	-0.236345333099365
8.09947	7.982	0.11747013854980448
7.752478	7.924	-0.17152187728881874
5.5037866	5.268	0.23578656387329122
7.4122553	7.615	-0.20274471282959006
7.0962	7.363	-0.2668000106811528
9.449101	9.395	0.05410144805908246
7.68594	7.678	0.007939788818359439
6.2461557	6.474	-0.2278442611694338
7.1517205	6.985	0.1667205238342282
4.803698	4.723	0.08069806289672865
7.0608525	6.492	0.5688525276184082
8.159962	8.351	-0.19103829956054774
5.631653	5.735	-0.10334716796875032
8.278577	8.367	-0.0884231491088876
4.3213253	4.357	-0.03567469787597677
7.482729	7.588	-0.10527104187011727
8.045443	8.205	-0.15955741882324226
7.1457486	6.941	0.20474861526489274
7.6929345	7.484	0.20893451309204103
7.3127956	7.502	-0.18920436096191384
3.4332223	3.422	0.011222293853759613
7.7723885	7.33	0.44238845825195305
5.105532	5.016	0.089532169342041
6.74925	7.311	-0.5617500648498535
7.575285	8.05	-0.4747150421142585
6.709982	6.769	-0.05901808166503919
3.6332948	3.499	0.13429482078552235
8.301251	8.273	0.028251411437988594
5.9437313	6.044	-0.10026869201660116
5.277965	5.257	0.020965068817139
5.184984	5.012	0.17298420715332075
5.9963307	5.877	0.11933073806762717
6.424651	6.231	0.19365114593505872
7.8208947	7.088	0.7328947181701659
12.499177	13.2	-0.7008230209350579
3.5534537	3.335	0.21845368385314945
7.5235415	7.064	0.4595414505004882
